event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp,population_best
SOM50292,"06 June 2025",2025,1,"Political violence",Battles,"Armed clash","Al Shabaab",,2,12,,706,"Eastern Africa",Somalia,Bay,"Qansax Dheere",,"Qansax Dheere",2.8712,43.0043,1,"Local Network",Other,"On 6 June 2025, Al Shabaab clashed with government soldiers (SNA) traveling on a motorcycle in Qansax Dheere town (Qansax Dheere, Bay). 2 soldiers were injured.",0,,1749511122,9028
SOM50292,"06 June 2025",2025,1,"Political violence",Battles,"Armed clash","Military Forces of Somalia (2022-)",,1,12,,706,"Eastern Africa",Somalia,Bay,"Qansax Dheere",,"Qansax Dheere",2.8712,43.0043,1,"Local Network",Other,"On 6 June 2025, Al Shabaab clashed with government soldiers (SNA) traveling on a motorcycle in Qansax Dheere town (Qansax Dheere, Bay). 2 soldiers were injured.",0,,1749511122,9028
SOM50297,"06 June 2025",2025,1,"Political violence",Battles,"Armed clash","Al Shabaab",,2,12,,706,"Eastern Africa",Somalia,Bay,Baydhaba,,Daynuunay,3.0399,43.7969,1,"Local Network",Other,"On 6 June 2025, Al Shabaab clashed with Southwest Special Police Forces (SWSPF) in Daynuunay village (Baydhaba, Bay). There were no casualties.",0,,1749511122,4274
SOM50297,"06 June 2025",2025,1,"Political violence",Battles,"Armed clash","Police Forces of Somalia (2022-) Southwest Special Police Forces",,1,12,,706,"Eastern Africa",Somalia,Bay,Baydhaba,,Daynuunay,3.0399,43.7969,1,"Local Network",Other,"On 6 June 2025, Al Shabaab clashed with Southwest Special Police Forces (SWSPF) in Daynuunay village (Baydhaba, Bay). There were no casualties.",0,,1749511122,4274
SOM50303,"06 June 2025",2025,1,"Political violence",Battles,"Armed clash","Hawadle Clan Militia (Somalia)",,4,24,,706,"Eastern Africa",Somalia,"Middle Shabelle","Adan Yabaal",,"Adan Yabaal",3.7742,46.2499,1,"Local Network",Other,"On 6 June 2025, Hawadle clan militia clashed with Al Shabaab on the outskirts of Adan Yabaal town (Adan Yabaal, Middle Shabelle). Both sides exchanged gunfire. There were no casualties.",0,,1749511122,3734
SOM50303,"06 June 2025",2025,1,"Political violence",Battles,"Armed clash","Al Shabaab",,2,24,,706,"Eastern Africa",Somalia,"Middle Shabelle","Adan Yabaal",,"Adan Yabaal",3.7742,46.2499,1,"Local Network",Other,"On 6 June 2025, Hawadle clan militia clashed with Al Shabaab on the outskirts of Adan Yabaal town (Adan Yabaal, Middle Shabelle). Both sides exchanged gunfire. There were no casualties.",0,,1749511122,3734
SOM50308,"06 June 2025",2025,1,"Political violence",Battles,"Armed clash","Hawadle Clan Militia (Somalia)",,4,24,,706,"Eastern Africa",Somalia,Hiraan,"Bulo Burto",,Moqokori,4.0625,46.1342,2,"Caasimada; Hiiraan (Somalia); Radio Risala",National,"On 6 June 2025, for the third day, Hawadle clan militia clashed with Al Shabaab at a base in Ceel Hareri village near Moqokori village (Bulo Burto, Hiraan). Casualties unknown.",0,,1749511122,2291
SOM50308,"06 June 2025",2025,1,"Political violence",Battles,"Armed clash","Al Shabaab",,2,24,,706,"Eastern Africa",Somalia,Hiraan,"Bulo Burto",,Moqokori,4.0625,46.1342,2,"Caasimada; Hiiraan (Somalia); Radio Risala",National,"On 6 June 2025, for the third day, Hawadle clan militia clashed with Al Shabaab at a base in Ceel Hareri village near Moqokori village (Bulo Burto, Hiraan). Casualties unknown.",0,,1749511122,2291
SOM50309,"06 June 2025",2025,1,"Political violence",Battles,"Armed clash","Hawadle Clan Militia (Somalia)",,4,24,,706,"Eastern Africa",Somalia,"Middle Shabelle","Adan Yabaal",,"Adan Yabaal",3.7742,46.2499,2,"Radio Kulmiye",National,"On 6 June 2025, Hawadle clan militia clashed with Al Shabaab in Garas Magan near Adan Yabaal town (Adan Yabaal, Middle Shabelle). Casualties unknown.",0,,1749511122,3734
SOM50309,"06 June 2025",2025,1,"Political violence",Battles,"Armed clash","Al Shabaab",,2,24,,706,"Eastern Africa",Somalia,"Middle Shabelle","Adan Yabaal",,"Adan Yabaal",3.7742,46.2499,2,"Radio Kulmiye",National,"On 6 June 2025, Hawadle clan militia clashed with Al Shabaab in Garas Magan near Adan Yabaal town (Adan Yabaal, Middle Shabelle). Casualties unknown.",0,,1749511122,3734
